中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
蒂絲,TESS,輕度,990,18,100,---,4,1982-07-01 15:30,1982-07-02 09:20
伊瑪,IRMA,輕度,902,28,200,---,7,1981-11-25 09:45,1981-11-26 21:15
蓋依,GAY,中度,947,45,300,100,4,1981-10-20 14:00,1981-10-21 09:00
葛萊拉,CLARA,強烈,924,58,250,100,12,1981-09-19 09:45,1981-09-22 04:00
艾妮絲,AGNES,中度,947,47,300,120,9,1981-08-29 16:00,1981-08-31 15:00
莫瑞,MAURY,輕度,985,30,180,30,8,1981-07-18 15:50,1981-07-20 08:15
裘恩,JUNE,中度,965,38,250,60,12,1981-06-18 15:10,1981-06-21 10:00
艾克,IKE,輕度,967,30,150,30,8,1981-06-12 15:00,1981-06-14 04:45
貝蒂,BETTY,輕度,928,23,150,---,5,1980-11-06 04:40,1980-11-07 04:00
魏恩,WYNNE,強烈,890,65,300,100,11,1980-10-10 15:30,1980-10-13 04:00
珀西,PERCY,強烈,919,60,250,100,15,1980-09-15 15:00,1980-09-19 03:00
諾瑞斯,NORRIS,中度,950,43,250,60,9,1980-08-26 15:30,1980-08-28 14:30
開梅,KIM,中度,908,45,250,100,10,1980-07-25 10:00,1980-07-27 14:30
艾達,IDA,輕度,980,30,200,40,13,1980-07-08 14:30,1980-07-11 15:15
喬琪亞,GEORGIA,輕度,985,28,150,50,7,1980-05-23 15:30,1980-05-25 04:45
狄普,TIP,強烈,870,58,450,200,13,1979-10-15 16:00,1979-10-18 14:10
奧文,OWEN,強烈,920,53,300,120,7,1979-09-25 21:00,1979-09-27 09:30
茱迪,JUDY,強烈,910,58,250,100,10,1979-08-22 05:00,1979-08-24 10:00
歐敏,IRVING,中度,955,40,400,120,15,1979-08-12 15:00,1979-08-16 05:40
賀璞,HOPE,強烈,895,67,300,110,9,1979-07-31 16:15,1979-08-02 15:05
戈登,GORDON,輕度,970,28,200,50,9,1979-07-27 10:10,1979-07-29 09:20
艾勒士,ELLIS,中度,950,45,250,100,8,1979-07-03 16:45,1979-07-05 09:30
婀拉,ORA,中度,940,40,200,70,12,1978-10-11 15:30,1978-10-14 09:00
黛拉,DELLA,輕度,985,20,150,---,5,1978-08-12 15:40,1978-08-13 15:00
卡門,CARMEN,中度,965,38,200,100,6,1978-08-15 08:30,1978-08-16 15:00
范迪,WENDY,中度,960,40,400,150,13,1978-07-27 06:30,1978-07-30 10:00
羅絲,ROSE,輕度,993,20,150,---,7,1978-06-23 15:00,1978-06-25 05:00
歐莉芙,OLIVE,中度,955,43,200,80,7,1978-04-24 14:45,1978-04-26 04:00
芙瑞達,FREDA,輕度,980,28,200,50,3,1977-09-24 04:10,1977-09-24 15:00
黛納,DINAH,中度,965,35,250,50,8,1977-09-15 10:30,1977-09-17 05:00
黛納,DINAH,中度,965,33,250,50,17,1977-09-18 16:00,1977-09-22 15:40
寶佩,BABE,強烈,910,65,350,150,9,1977-09-07 16:00,1977-09-09 15:30
愛美,AMY,輕度,985,21,150,---,17,1977-08-18 22:00,1977-08-22 21:00
薇拉,VERA,強烈,930,55,200,50,16,1977-07-28 21:30,1977-08-01 16:00
賽洛瑪,THELMA,中度,950,40,250,70,13,1977-07-22 22:00,1977-07-25 21:30
魯絲,RUTH,輕度,980,30,150,50,8,1977-06-15 16:30,1977-06-17 08:30
